,variable,precision,recall,f1,auc,auc+f1+prec,data_fill,transformation,resample,classifier
73,var2,0.9682855687326848,0.19819457703193824,0.2971117233016111,0.6028755211554337,1.8682728131897297,median,stdscl,SMOTE,LR
74,var3,0.9708592395415891,0.10241337151853154,0.1453386859355176,0.5587815915893887,1.6749795170664954,median,stdscl,SMOTE,LR
75,var4,0.95736802956621,0.9333936257515616,0.9446938921822896,0.5866927745630957,2.488754696311595,median,stdscl,SMOTE,LR
76,var5,0.9642353366636102,0.03900584501498937,0.029155778623466758,0.4982286905103666,1.4916198057974437,median,stdscl,SMOTE,LR
77,var6,0.9606233429046956,0.03555577886080825,0.022425385864693663,0.4971776126067127,1.4802263413761017,median,stdscl,SMOTE,LR
78,var7,0.9518807496667456,0.9469594198529536,0.9494041059364072,0.5071398996241081,2.408424755227261,median,stdscl,SMOTE,LR
79,var8,0.9505398483608888,0.7823443701954479,0.8563215848871566,0.5500120587016817,2.3568734919497274,median,stdscl,SMOTE,LR
80,"var1,var2",0.9684332469018988,0.24493794905290656,0.36208417235004176,0.6068153892734369,1.9373328085253771,median,stdscl,SMOTE,LR
81,"var1,var3",0.9537422720559824,0.8960793180257582,0.9231255226933834,0.5710483090389018,2.4479161037882675,median,stdscl,SMOTE,LR
82,"var1,var4",0.9575146407485944,0.9206484784538344,0.9377792139393109,0.592002480588033,2.4872963352759383,median,stdscl,SMOTE,LR
83,"var1,var5",0.9535941008287436,0.8886265052169691,0.9189698744118584,0.5366523553045539,2.4092163305451555,median,stdscl,SMOTE,LR
84,"var1,var6",0.9535794970641592,0.8876383794737812,0.9184182083372548,0.5360362696661192,2.4080339750675335,median,stdscl,SMOTE,LR
85,"var1,var7",0.9535429216342508,0.8728332412199166,0.9101314542548956,0.5381394379395542,2.4018138138287006,median,stdscl,SMOTE,LR
86,"var1,var8",0.9518145381985672,0.7788105645715051,0.8541954283362717,0.5669007415486003,2.372910708083439,median,stdscl,SMOTE,LR
87,"var2,var3",0.9689345499710036,0.2192634276239763,0.32692267118157803,0.6241036568343628,1.9199608779869444,median,stdscl,SMOTE,LR
88,"var2,var4",0.957378886706592,0.931903063189804,0.9438882753740642,0.6445951371159866,2.545862299196642,median,stdscl,SMOTE,LR
89,"var2,var5",0.9682242355904416,0.19889798857793636,0.2981421529038872,0.6018563071715461,1.8682226956658752,median,stdscl,SMOTE,LR
90,"var2,var6",0.96828701233669,0.1982280728198429,0.2971599242904959,0.6020974581945833,1.8675443948217687,median,stdscl,SMOTE,LR
91,"var2,var7",0.9688166599109552,0.2137031268318009,0.3191514236915293,0.5995831884049434,1.887551272007428,median,stdscl,SMOTE,LR
92,"var2,var8",0.9668031164111106,0.28091242526252325,0.4090951540867521,0.5910861872375699,1.9669844577354327,median,stdscl,SMOTE,LR
93,"var3,var4",0.9575066959746572,0.9330921636604196,0.9445829112891014,0.6085022613891163,2.5105918686528748,median,stdscl,SMOTE,LR
94,"var3,var5",0.9701994679193422,0.10772245390142188,0.15453002112848493,0.5575636063435974,1.6822930953914246,median,stdscl,SMOTE,LR
95,"var3,var6",0.9708634010577912,0.10248036309434087,0.14545364580309447,0.5567607724785198,1.6730778193394058,median,stdscl,SMOTE,LR
96,"var3,var7",0.9530300985381092,0.8645262858195581,0.9053273831575956,0.5590046102645104,2.4173620919602152,median,stdscl,SMOTE,LR
97,"var3,var8",0.9673003807936328,0.2753688723643002,0.4019731184453152,0.5775811316720483,1.946854630910996,median,stdscl,SMOTE,LR
98,"var4,var5",0.9573715667622236,0.9334438694334188,0.944722512089582,0.5858546251891816,2.487948704040988,median,stdscl,SMOTE,LR
99,"var4,var6",0.95736802956621,0.9333936257515616,0.9446938921822896,0.5853866472377485,2.487448568986248,median,stdscl,SMOTE,LR
100,"var4,var7",0.9569804682001972,0.9197105963925036,0.9370875615474764,0.5898516343642417,2.483919664111915,median,stdscl,SMOTE,LR
101,"var4,var8",0.9558464990490984,0.8600713460282371,0.9033053446266064,0.6135027222913102,2.472654565967015,median,stdscl,SMOTE,LR
102,"var5,var6",0.96430153498934,0.039089584484751035,0.02931855493352068,0.4983456648639554,1.491965754786816,median,stdscl,SMOTE,LR
